sex,sinbun,age,count_p,level_p,count_s,level_s,count_r,level_r
m,s,25,72,0,86,0,1230,0
m,s,26,70,0,84,0,1245,0
m,s,31,68,0,80,0,1300,0
m,s,36,65,0,76,0,1315,0
m,s,41,61,0,72,0,1330,0
m,s,44,57,0,68,0,1345,0
m,s,47,54,0,65,0,1400,0
m,s,50,51,0,62,0,1415,0
m,s,52,49,0,60,0,1430,0
m,s,54,47,0,58,0,1445,0
m,s,56,44,0,56,0,1510,0
m,s,58,42,0,54,0,1535,0
m,s,60,40,0,52,0,1600,0
m,s,25,64,1,78,1,1332,1
m,s,26,62,1,76,1,1352,1
m,s,31,60,1,72,1,1412,1
m,s,36,57,1,68,1,1432,1
m,s,41,53,1,64,1,1449,1
m,s,44,49,1,60,1,1505,1
m,s,47,46,1,57,1,1525,1
m,s,50,43,1,54,1,1542,1
m,s,52,41,1,52,1,1602,1
m,s,54,39,1,50,1,1609,1
m,s,56,36,1,48,1,1646,1
m,s,58,34,1,46,1,1713,1
m,s,60,32,1,44,1,1740,1
m,s,25,56,2,70,2,1434,2
m,s,26,54,2,68,2,1459,2
m,s,31,52,2,65,2,1524,2
m,s,36,49,2,60,2,1549,2
m,s,41,45,2,56,2,1607,2
m,s,44,41,2,52,2,1626,2
m,s,47,38,2,49,2,1651,2
m,s,50,35,2,46,2,1709,2
m,s,52,33,2,44,2,1734,2
m,s,54,31,2,42,2,1752,2
m,s,56,28,2,40,2,1823,2
m,s,58,26,2,38,2,1851,2
m,s,60,24,2,36,2,1919,2
m,s,25,48,3,62,3,1536,3
m,s,26,46,3,60,3,1606,3
m,s,31,44,3,57,3,1636,3
m,s,36,41,3,52,3,1706,3
m,s,41,37,3,48,3,1726,3
m,s,44,33,3,44,3,1746,3
m,s,47,30,3,41,3,1816,3
m,s,50,27,3,38,3,1836,3
m,s,52,25,3,36,3,1906,3
m,s,54,23,3,34,3,1926,3
m,s,56,20,3,32,3,1959,3
m,s,58,18,3,30,3,2029,3
m,s,60,16,3,28,3,2059,3
w,s,25,35,0,71,0,1500,0
w,s,26,33,0,68,0,1518,0
w,s,31,31,0,66,0,1536,0
w,s,36,29,0,63,0,1554,0
w,s,41,26,0,60,0,1612,0
w,s,44,24,0,57,0,1630,0
w,s,47,22,0,55,0,1648,0
